23,Bánh tráng tr?ng,20000,15000,24,FOOD,231.png,21-04-2023
24,Tokbokki,30000,25000,14,FOOD,241.png,21-04-2023
25,Takoyaki,30000,25000,24,FOOD,251.png,21-04-2023
26,Bánh tráng tr?n,20000,15000,33,FOOD,261.png,21-04-2023
27,Bánh gato,40000,32000,18,FOOD,271.png,21-04-2023
28,Bánh donut,30000,25000,12,FOOD,281.png,21-04-2023
29,Bánh ph?ng tôm,12000,8000,57,FOOD,291.png,21-04-2023
30,Cá viên chiên,15000,12000,30,FOOD,301.png,21-04-2023
31,Bò viên chiên,15000,12000,36,FOOD,311.png,21-04-2023
32,Xúc xích chiên,20000,15000,23,FOOD,321.png,21-04-2023
33,Bò khô,15000,12000,47,FOOD,331.png,21-04-2023
1.68E+12,Mì gói,10000,3000,177,FOOD,16819698180811.png,21-04-2023
1,Cà phê ?á xay,25000,18000,24,DRINK,12.png,21-04-2023
2,Espresso,20000,16000,19,DRINK,22.png,21-04-2023
3,Cappucchino,25000,15000,35,DRINK,32.png,21-04-2023
4,Latte,25000,15000,34,DRINK,42.png,21-04-2023
5,B?c x?u,22000,17000,26,DRINK,52.png,21-04-2023
6,Cà phê nguyên ch?t,18000,15000,31,DRINK,62.png,21-04-2023
7,N??c ép cam,20000,16000,26,DRINK,72.png,21-04-2023
8,N??c ép b??i,20000,16000,31,DRINK,82.png,21-04-2023
9,N??c ép táo,20000,16000,26,DRINK,92.png,21-04-2023
10,N??c ép d?a l??i,20000,16000,28,DRINK,102.png,21-04-2023
11,Trà vài,20000,16000,32,DRINK,112.png,21-04-2023
12,Trà ?ào,20000,16000,26,DRINK,122.png,21-04-2023
13,Trà t?c,20000,16000,34,DRINK,132.png,21-04-2023
14,Chanh dây,20000,15000,38,DRINK,142.png,21-04-2023
15,Cacao nóng,25000,18000,24,DRINK,152.png,21-04-2023
16,Cacao b?c hà,25000,18000,22,DRINK,162.png,21-04-2023
17,Sinh t? dâu,20000,16000,21,DRINK,172.png,21-04-2023
18,Sinh t? vi?t qu?t,20000,16000,33,DRINK,182.png,21-04-2023
19,Matcha kem t??i,25000,20000,23,DRINK,192.png,21-04-2023
20,Matcha nóng,20000,16000,20,DRINK,202.png,21-04-2023
21,Matcha l?nh,20000,16000,32,DRINK,212.png,21-04-2023
22,Matcha s?a t??i,25000,20000,24,DRINK,222.png,21-04-2023
40,Trân châu,5000,2000,287,TOPPING,403.png,21-04-2023
41,Th?ch,5000,2000,152,TOPPING,413.png,21-04-2023
42,Topping Cream,3000,1000,508,TOPPING,423.png,21-04-2023
43,Milk foam,3000,1000,426,TOPPING,433.png,21-04-2023
34,Bún ??u m?m tôm,25000,12000,43,SPECIAL,344.png,21-04-2023
35,Ch? cu?n,5000,1000,365,SPECIAL,354.png,21-04-2023
36,Bánh cu?n,15000,5000,89,SPECIAL,364.png,21-04-2023
37,H?t v?t l?n,5000,2000,212,SPECIAL,374.png,21-04-2023
38,Cháo lòng,25000,10000,33,SPECIAL,384.png,21-04-2023
39,Cà phê ch?n,800000,100000,3,SPECIAL,394.png,21-04-2023
